Generation,BestFitness
1,11.060495974872635
2,2.201222302367203
3,2.201222302367203
4,2.136555410211699
5,1.033713286527643
6,1.033713286527643
7,1.0310364428598149
8,1.1161267069030885
9,1.0068111146195626
10,1.0068111146195626
11,0.9993719237115073
12,0.9951036445086743
13,0.9967454006426841
14,0.9960555923632732
15,0.995461384049829
16,0.9953261785989866
17,0.995204579633679
18,0.995204579633679
19,0.99511905146597
20,0.9950775475782905
21,0.9950528448745715
22,0.9950052850271476
23,0.9950149690194507
24,0.9949691720448826
25,0.9949654952182101
26,0.9949623610637772
27,0.9949619612634777
28,0.9949614876720716
29,0.9949611479747666
30,0.9949611479747666
31,0.9949610648899458
32,0.9949610648899458
33,0.9949610213462421
34,0.9949608733737634
35,0.9949608926214566
36,0.9949608926214566
37,0.9949608759647788
38,0.9949608727886634
39,0.9949608693180423
40,0.9949608591873442
41,0.9949608635719684
42,0.9949608635719684
43,0.9949608563417165
44,0.9949608537016239
45,0.9949608530402401
46,0.9949608501462954
47,0.9949608514091182
48,0.9949608510342642
49,0.9949608504321397
50,0.9949608504321397
51,0.9949608497470024
52,0.994960849302192
53,0.9949608488611474
54,0.9949608484295247
55,0.9949608479498977
56,0.9949608476271763
57,0.9949608476271763
58,0.9949608467651245
59,0.9949608468526634
60,0.9949608463521855
61,0.9949608457316437
62,0.9949608454877925
63,0.9949608454877925
64,0.9949608453341412
65,0.994960845130457
66,0.9949608450555374
67,0.9949608450315353
68,0.9949608447068954
69,0.9949608444242273
70,0.9949608444242273
71,0.9949608444242273
72,0.9949608443840177
73,0.9949608441470055
74,0.9949608441391362
75,0.9949608440261457
76,0.9949608439069486
77,0.9949608438863358
78,0.9949608438103574
79,0.9949608435850905
80,0.9949608434340504
81,0.9949608434340504
82,0.9949608433975428
83,0.9949608432427155
84,0.9949608432286112
85,0.994960843111695
86,0.9949608429839998
87,0.994960842968144
88,0.994960842968144
89,0.9949608426653391
90,0.9949608426653391
91,0.9949608426536045
92,0.9949608426536045
93,0.9949608425792391
94,0.9949608424909044
95,0.9949608424909044
96,0.9949608424230085
97,0.994960842312338
98,0.994960842213608
99,0.994960842085419
100,0.994960842085419
